Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
ELEC,Village of Sodus,14-16 Mill St,Enter municipal lot from Main or Gaylord Streets,Sodus,NY,14551,,315-483-9821,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,200-9,43.235555,-77.061621,2020-03-03T00:00:00.000,92116,2021-03-11 23:22:17,LG,,,2017-08-01T00:00:00.000,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.061621, 43.235555]}",628,408,631
ELEC,DeNooyer Chevrolet,127 Wolf Rd,,Albany,NY,12205,,,E,,Public - Call ahead,Dealership business hours; 518-458-7700,,,,,,,1.0,,Non-Networked,,GPS,42.717867,-73.806317,2021-05-06T00:00:00.000,117741,2021-05-06 13:19:19,P,,,2019-01-01T00:00:00.000,,,,,J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.806317, 42.717867]}",834,42,2030
ELEC,BRUNSWICK HD BRUNSWICK HD2,1130 Hoosick Rd,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,{'url': 'http://www.chargepoint.com/'},GPS,42.75888,-73.60228,2021-07-15T00:00:00.000,150341,2021-07-15 00:25:19,,,,2019-12-19T00:00:00.000,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.60228, 42.75888]}",130,11,2138
ELEC,AL SIGL WOLK,1600 South Ave,,Rochester,NY,14620,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,{'url': 'http://www.chargepoint.com/'},GPS,43.123642,-77.61388,2021-07-15T00:00:00.000,163584,2021-07-15 00:25:19,,,,2020-06-24T00:00:00.000,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.61388, 43.123642]}",537,1679,2093
ELEC,LaGrangeville Tops Market,16 John J Wagner Way,,LaGrangeville,NY,12540,,855-900-7584,E,,Public,24 hours daily,,,,,,,4.0,,Greenlots,{'url': 'http://greenlots.com/'},200-9,41.667907,-73.795294,2021-07-15T00:00:00.000,164367,2021-07-15 01:10:31,,,,2020-07-18T00:00:00.000,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.795294, 41.667907]}",594,979,2040
ELEC,Hatchet Hardware of Waterford,42 Saratoga Ave,,Waterford,NY,12188,,888-356-8911,E,,Public,24 hours daily,,,,,,2.0,,,FLO,{'url': 'https://flo.ca/'},GPS,42.782254,-73.696148,2021-07-15T00:00:00.000,165117,2021-07-15 01:21:37,,,,2020-08-11T00:00:00.000,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.696148, 42.782254]}",992,18,2030
ELEC,LANDMARK ALBANY LANDMARK ALBANY,100 Sandidge Way,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,{'url': 'http://www.chargepoint.com/'},GPS,42.687836,-73.83313,2021-07-15T00:00:00.000,169976,2021-07-15 00:25:19,,,,2020-12-08T00:00:00.000,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.83313, 42.687836]}",814,40,2030
ELEC,BP CENTEREACH,3117 Nesconset Hwy,,Centereach,NY,11720,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,{'url': 'http://www.chargepoint.com/'},GPS,40.887839,-73.097965,2021-07-15T00:00:00.000,190944,2021-07-15 00:25:19,,,,2021-06-12T00:00:00.000,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.097965, 40.887839]}",1022,1077,2179
ELEC,NATIONAL GRID JEFFERSON 2,1220 Coffeen street,,Watertown,NY,13601,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,{'url': 'http://www.chargepoint.com/'},GPS,43.992677,-75.932725,2021-07-15T00:00:00.000,180124,2021-07-15 00:25:19,,,,2021-01-27T00:00:00.000,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-75.932725, 43.992677]}",841,1466,2089
ELEC,Rapidpark 9-11 W 100th Street - Tesla Destination,9 W 100th St,,New York,NY,10024,,212-531-4228  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3.0,,,Tesla Destination,{'url': 'https://www.tesla.com/destination-charging'},200-9,40.794681,-73.963228,2020-11-03T00:00:00.000,115192,2021-03-11 23:22:17,P,,,2017-03-01T00:00:00.000,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.963228, 40.794681]}",749,752,2095
